family,dtype,m,n,k,muxi_runtime_ns,muxi_tflops,muxi_ref_runtime_ns,muxi_ref_tflops,muxi_speedup,muxi_err_max,local_family,local_runtime_ns,local_tflops,local_err_max,local_vs_muxi_ratio,mcblas_runtime_ns,mcblas_tflops,mcblas_err_max,local_vs_mcblas_ratio
gemm_layoutAB_ContinuousC,fp16,3584,32,18944,178437.68000602722,24.35191347395475,197848.30510616302,21.962780735818612,1.1087809766383432,0.25,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,3584,48,18944,180147.58825302124,36.181158344709,206135.21337509155,31.619771844317015,1.1442574134579593,0.25,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,3584,64,18944,189799.81541633606,45.78823150558239,216135.75518131256,40.20897829102643,1.138756403462286,0.25,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,3584,80,18944,217819.58639621735,49.87268381016745,215262.17460632324,50.46519380317036,0.9882590366082041,0.25,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,3584,96,18944,232096.76146507263,56.1657851221751,228656.45587444305,57.01084092354736,0.9851772787827231,0.25,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,3584,112,18944,253932.55054950714,59.892070831757806,230943.78411769867,65.85388891111737,0.9094690051273023,0.25,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,3584,128,18944,256823.3758211136,67.67762366034238,226628.03530693054,76.69481735770255,0.882427600612122,0.25,tk_local_bf16_continuousc_reusea_n_params,217429.0,79.939516,0.000672,1.1811808937204575,,,,
gemm_layoutAB_ContinuousC,fp16,3584,144,18944,306399.53911304474,63.81812878897868,329127.5352239609,59.411149646577655,1.0741776445771047,0.125,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,3584,160,18944,324102.11861133575,67.03595401687109,326555.2222728729,66.53237565389512,1.0075689220176895,0.25,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,3584,176,18944,358333.8111639023,66.6951971804539,336328.52137088776,71.0589280224769,0.938589970838813,0.25,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,3584,192,18944,357763.8417482376,72.87431154752362,336181.3724040985,77.55276111093106,0.9396739781229012,0.125,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,3584,208,18944,370621.6812133789,76.20828615187992,350607.5590848923,80.5585687020547,0.945998512383403,0.25,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,3584,224,18944,374710.18731594086,81.17498172622007,328650.69806575775,92.55143161726687,0.8770796983660667,0.25,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,3584,240,18944,420836.7317914963,77.4403459062756,326849.5202064514,99.70870405260195,0.7766658552238476,0.25,unsupported_shape,,,,,,,,
