family,dtype,m,n,k,muxi_runtime_ns,muxi_tflops,muxi_ref_runtime_ns,muxi_ref_tflops,muxi_speedup,muxi_err_max,local_family,local_runtime_ns,local_tflops,local_err_max,local_vs_muxi_ratio
muxi_hgemm_layoutC,fp16,3584,480,3584,235680.490732193,52.32191142207089,209901.48186683655,58.74781659627854,0.8906188255749624,0.0,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,37888,256,3584,584987.923502922,118.84823653740386,500213.3548259735,138.9902577235028,0.8550832157879151,0.0625,tk_local_bf16_layoutc_128x128x128_stage4,506112.0,137.370357,0.0,1.1558468261896917
muxi_hgemm_layoutC,fp16,37888,288,3584,832702.9645442963,93.92950946776564,851493.3288097382,91.85671613109822,1.0225655066278347,0.0,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,37888,320,3584,916626.3043880463,94.81069707902367,911939.8891925812,95.29792468771745,0.9948873219402167,0.0,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,37888,352,3584,859178.6026954651,111.26508093670962,843387.097120285,113.34839849271002,0.9816202294544604,0.0,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,37888,384,3584,857675.4480600357,121.59281799646442,836193.5615539551,124.71654823818075,0.9749533619568216,0.0,tk_local_bf16_layoutc_128x128x128_stage4,746240.0,139.750177,0.0,1.1493292063028226
muxi_hgemm_layoutC,fp16,37888,416,3584,1014811.9181394577,111.32877977145944,810239.4640445709,139.43750898041316,0.7984134296826676,0.0,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,37888,448,3584,1087877.8994083405,111.84009758647662,921128.3177137375,132.08623390711057,0.8467203150415205,0.0,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,37888,480,3584,1054160.2969169617,123.66142862831481,865912.064909935,150.5452731318149,0.8214235230091811,0.0,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,3584,256,18944,473268.3300971985,73.45175948042119,332687.05010414124,104.48976460345634,0.7029565025739519,0.125,tk_local_bf16_layoutc_128x128x128_stage4,414208.0,83.924965,0.0,1.1425861762014085
muxi_hgemm_layoutC,fp16,3584,288,18944,499892.9798603058,78.23212581806725,392179.936170578,99.7187435896521,0.784527792889134,0.0,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,3584,320,18944,469472.2592830658,92.55709699729086,441493.4664964676,98.4227236358155,0.940403735826,0.0,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,3584,352,18944,567471.6085195541,84.23027278615464,394137.57622241974,121.27310682254378,0.6945503004999032,0.0,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,3584,384,18944,476690.00923633575,109.38678453012845,447686.7616176605,116.47337334609945,0.9391570054821605,0.0,tk_local_bf16_layoutc_128x128x128_stage4,417792.0,124.807532,0.0,1.1409745019575395
muxi_hgemm_layoutC,fp16,3584,416,18944,886123.6274242401,63.74831290324619,499727.20444202423,113.03944586141408,0.5639475000735705,0.125,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,3584,448,18944,867640.5996084213,70.11449814987375,896412.8792285919,67.8640240737626,1.033161518298194,0.125,unsupported_shape,,,,
muxi_hgemm_layoutC,fp16,3584,480,18944,839842.4834012985,77.60917725432039,554785.1324081421,117.48599656425006,0.66058236320852,0.125,unsupported_shape,,,,
