family,dtype,m,n,k,muxi_runtime_ns,muxi_tflops,muxi_ref_runtime_ns,muxi_ref_tflops,muxi_speedup,muxi_err_max,local_family,local_runtime_ns,local_tflops,local_err_max,local_vs_muxi_ratio
gemm_layoutAB_ContinuousC,bf16,3584,144,3584,135667.622089386,27.267936675138515,107672.0654964447,34.35780776511761,0.7936459992311494,1.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,160,3584,114530.32493591309,35.88934129279767,136116.51957035065,30.197788872169674,1.188475800156128,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,176,3584,112548.47049713135,40.17344431273496,140499.3236064911,32.1813628417433,1.2483450284655104,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,192,3584,113151.96752548218,43.59183151533963,133303.9253950119,37.00192240688938,1.1780963982353327,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,208,3584,133452.93700695038,40.04065714733353,148713.5887145996,35.931775584105786,1.114352310634081,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,224,3584,130757.68947601318,44.00953482017322,147620.21601200104,38.982364634476426,1.128960113960114,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,240,3584,133242.45810508728,46.273740125217586,159515.06793498993,38.65231642262654,1.1971789638493584,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,3584,256,3584,142691.65694713593,46.09007150597816,145917.75834560394,45.07106432119977,1.0226088999699767,0.0,tk_local_bf16_continuousc_128x128x128_stage4,134912.0,48.747841,0.0,1.0576646858462155
gemm_layoutAB_ContinuousC,bf16,37888,16,3584,251004.47237491608,17.311639521345214,276094.30253505707,15.738459302137377,1.0999577016407311,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,37888,32,3584,5640206.858515739,1.5408296372816002,274231.6573858261,31.690717150766055,0.048620851019281965,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,37888,48,3584,267431.1399459839,48.744872547875346,286186.1139535904,45.55041700630512,1.0701301053100796,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,37888,64,3584,263886.5262269974,65.86617370925771,337960.1985216141,51.42971229166323,1.2807027450537505,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,37888,80,3584,1733934.5067739487,12.530170335223891,481152.9070138931,45.15507316548886,0.2774919728133772,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,37888,96,3584,1749319.9557065964,14.903959438037118,3024918.958544731,8.619005672979409,1.7291970795147573,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,37888,112,3584,410288.57231140137,74.13585135126307,499069.6907043457,60.94758542653999,1.2163870124210068,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,37888,128,3584,454060.73331832886,76.55890281009852,1488195.7322359085,23.358749658401432,3.27752572075546,1.0,tk_local_bf16_continuousc_128x128x128_stage4,349184.0,99.553218,0.0,1.3003480241473422
gemm_layoutAB_ContinuousC,bf16,37888,144,3584,474844.1278934479,82.35900624799456,511132.1806907654,76.51189256592734,1.0764209783077707,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,37888,160,3584,543165.9519672394,79.99947213668658,510532.408952713,85.11308719683012,0.9399197558382771,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,37888,176,3584,480603.42669487,99.45473904069067,458927.82509326935,104.15208181000096,0.9548991946423173,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,37888,192,3584,526648.0147838593,99.0103178294523,504795.46189308167,103.29646612204348,0.9585063414703157,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,37888,208,3584,573525.2052545547,98.49416512902486,497104.60007190704,113.63581480402472,0.8667528393129139,0.5,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,37888,224,3584,531781.4648151398,114.39696424385052,506496.0569143295,120.10791473207797,0.9524515057898829,1.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,bf16,37888,240,3584,526146.9632387161,123.88075711543671,501504.16791439056,129.96798098620485,0.9531636651998598,1.0,unsupported_shape,,,,
