family,dtype,m,n,k,kernel_ns,kernel_tflops,ref_ns,ref_tflops,speedup,max_error,status
gemm_layoutAB_ContinuousC,fp16,37888,96,3584,335583.4633111954,77.69093687379625,327065.5870437622,79.71426740322738,0.9746177115421975,0.125,ok
gemm_layoutAB_ContinuousC,fp16,37888,112,3584,332066.7892694473,91.59932155491408,315571.203827858,96.38741507159926,0.9503244950274011,0.125,ok
gemm_layoutAB_ContinuousC,fp16,37888,128,3584,379839.9120569229,91.51853306766378,311875.71585178375,111.4623222813556,0.8210714723550325,0.125,ok
gemm_layoutAB_ContinuousC,fp16,37888,144,3584,477306.5447807312,81.93411744221022,503795.22144794464,77.62616402672819,1.0554961522251534,0.125,ok
gemm_layoutAB_ContinuousC,fp16,37888,160,3584,456651.6727209091,95.15565590965672,472147.01771736145,92.03275210775979,1.0339325265231702,0.125,ok
gemm_layoutAB_ContinuousC,fp16,37888,176,3584,456582.7548503876,104.68702086582854,466309.48781967163,102.5033580326469,1.021303329716146,0.125,ok
gemm_layoutAB_ContinuousC,fp16,37888,192,3584,509163.36476802826,102.4103282681312,467739.999294281,111.4798550619435,0.9186442538091493,0.125,ok
gemm_layoutAB_ContinuousC,fp16,37888,208,3584,564115.12196064,100.13716008120308,468760.72883605957,120.50686586366315,0.8309664297011461,0.125,ok
gemm_layoutAB_ContinuousC,fp16,37888,224,3584,511165.70830345154,119.01069306450037,528357.9230308533,115.1382094679928,1.033633349123638,0.125,ok
gemm_layoutAB_ContinuousC,fp16,37888,240,3584,508395.9549665451,128.2061423252062,466270.3722715378,139.78903236434246,0.9171402087615363,0.125,ok
gemm_layoutAB_ContinuousC,fp16,37888,256,3584,561915.3380393982,123.72821739762749,467315.31620025635,148.77488644991658,0.8316471976557631,0.125,ok
gemm_layoutAB_ContinuousC,fp16,3584,16,18944,155633.31544399261,13.960053898497497,174872.57719039917,12.424186266977957,1.1236191729998204,0.25,ok
gemm_layoutAB_ContinuousC,fp16,3584,32,18944,161888.07785511017,26.84137708947933,180309.63838100433,24.099094108425533,1.1137919528724127,0.25,ok
